timestamp,bus_id,house_count,solar_mw,demand_mw,micro_price,battery_soc_pct,grid_frequency_hz
2026-09-13T00:08:01.735000+00:00,BUS-05,100,0.0,1.209,5.1776,50.026,49.9842
2026-09-13T00:08:11.735000+00:00,BUS-05,100,0.0,1.216,5.1627,50.052,49.9808
2026-09-13T00:08:21.735000+00:00,BUS-05,100,0.0,1.2148,5.155,50.078,49.9807
2026-09-13T00:08:31.735000+00:00,BUS-05,100,0.0,1.2175,5.1538,50.104,49.9795
2026-09-13T00:08:41.735000+00:00,BUS-05,100,0.0,1.2275,5.1382,50.129,49.9826
2026-09-13T00:08:51.735000+00:00,BUS-05,100,0.0,1.2283,5.1778,50.155,49.9837
2026-09-13T00:09:01.735000+00:00,BUS-05,100,0.0,1.233,5.1953,50.181,49.9813
2026-09-13T00:09:11.735000+00:00,BUS-05,100,0.0,1.2406,5.2311,50.207,49.9839
2026-09-13T00:09:21.735000+00:00,BUS-05,100,0.0,1.2342,5.2519,50.233,49.9796
2026-09-13T00:09:31.735000+00:00,BUS-05,100,0.0,1.2391,5.2368,50.258,49.9788
2026-09-13T00:09:41.735000+00:00,BUS-05,100,0.0,1.2335,5.2139,50.284,49.9796
2026-09-13T00:09:51.735000+00:00,BUS-05,100,0.0,1.2308,5.2273,50.31,49.9744
2026-09-13T00:10:01.735000+00:00,BUS-05,100,0.0,1.2206,5.1749,50.337,49.9786
2026-09-13T00:10:11.735000+00:00,BUS-05,100,0.0,1.2163,5.1584,50.362,49.9802
2026-09-13T00:10:21.735000+00:00,BUS-05,100,0.0,1.2104,5.1172,50.388,49.9799
2026-09-13T00:10:31.735000+00:00,BUS-05,100,0.0,1.223,5.1201,50.414,49.9755
2026-09-13T00:10:41.735000+00:00,BUS-05,100,0.0,1.2086,5.0965,50.44,49.9726
2026-09-13T00:10:51.735000+00:00,BUS-05,100,0.0,1.2361,5.1362,50.466,49.9746
2026-09-13T00:11:01.735000+00:00,BUS-05,100,0.0,1.233,5.1172,50.491,49.9716
2026-09-13T00:11:11.735000+00:00,BUS-05,100,0.0,1.2483,5.0864,50.517,49.968
2026-09-13T00:11:21.735000+00:00,BUS-05,100,0.0,1.238,5.0635,50.543,49.9714
2026-09-13T00:11:31.735000+00:00,BUS-05,100,0.0,1.2404,5.0737,50.568,49.9734
2026-09-13T00:11:41.735000+00:00,BUS-05,100,0.0,1.2411,5.1121,50.594,49.979
2026-09-13T00:11:51.735000+00:00,BUS-05,100,0.0,1.2273,5.1627,50.621,49.9791
2026-09-13T00:12:01.735000+00:00,BUS-05,100,0.0,1.2173,5.1862,50.646,49.9792
2026-09-13T00:12:11.735000+00:00,BUS-05,100,0.0,1.2227,5.2108,50.672,49.9748
2026-09-13T00:12:21.735000+00:00,BUS-05,100,0.0,1.2088,5.1679,50.698,49.9801
2026-09-13T00:12:31.735000+00:00,BUS-05,100,0.0,1.2017,5.1978,50.724,49.9764
2026-09-13T00:12:41.735000+00:00,BUS-05,100,0.0,1.2196,5.1867,50.75,49.9747
2026-09-13T00:12:51.735000+00:00,BUS-05,100,0.0,1.2123,5.2073,50.776,49.9737
2026-09-13T00:13:01.735000+00:00,BUS-05,100,0.0,1.1976,5.1727,50.802,49.9824
2026-09-13T00:13:11.735000+00:00,BUS-05,100,0.0,1.201,5.175,50.828,49.9858
2026-09-13T00:13:21.735000+00:00,BUS-05,100,0.0,1.1878,5.1707,50.854,49.9837
2026-09-13T00:13:31.735000+00:00,BUS-05,100,0.0,1.1918,5.2042,50.88,49.9852
2026-09-13T00:13:41.735000+00:00,BUS-05,100,0.0,1.1959,5.2475,50.906,49.9862
2026-09-13T00:13:51.735000+00:00,BUS-05,100,0.0,1.2005,5.1897,50.932,49.9863
2026-09-13T00:14:01.735000+00:00,BUS-05,100,0.0,1.2019,5.18,50.957,49.9869
2026-09-13T00:14:11.735000+00:00,BUS-05,100,0.0,1.205,5.1737,50.983,49.9854
2026-09-13T00:14:21.735000+00:00,BUS-05,100,0.0,1.2172,5.1475,51.009,49.9871
2026-09-13T00:14:31.735000+00:00,BUS-05,100,0.0,1.2135,5.1929,51.035,49.9822
2026-09-13T00:14:41.735000+00:00,BUS-05,100,0.0,1.22,5.2005,51.061,49.9822
2026-09-13T00:14:51.735000+00:00,BUS-05,100,0.0,1.2251,5.1704,51.087,49.9776
2026-09-13T00:15:01.735000+00:00,BUS-05,100,0.0,1.2297,5.1723,51.113,49.98
2026-09-13T00:15:11.735000+00:00,BUS-05,100,0.0,1.2339,5.1454,51.139,49.9838
2026-09-13T00:15:21.735000+00:00,BUS-05,100,0.0,1.2344,5.1712,51.165,49.9834
2026-09-13T00:15:31.735000+00:00,BUS-05,100,0.0,1.2226,5.1818,51.191,49.9804
2026-09-13T00:15:41.735000+00:00,BUS-05,100,0.0,1.2342,5.2048,51.217,49.9901
2026-09-13T00:15:51.735000+00:00,BUS-05,100,0.0,1.2281,5.1437,51.244,49.9846
2026-09-13T00:16:01.735000+00:00,BUS-05,100,0.0,1.2317,5.1088,51.269,49.9849
2026-09-13T00:16:11.735000+00:00,BUS-05,100,0.0,1.2315,5.126,51.295,49.9821
2026-09-13T00:16:21.735000+00:00,BUS-05,100,0.0,1.2261,5.1339,51.321,49.9858
2026-09-13T00:16:31.735000+00:00,BUS-05,100,0.0,1.2024,5.0739,51.347,49.9868
2026-09-13T00:16:41.735000+00:00,BUS-05,100,0.0,1.2153,5.1362,51.373,49.9806
2026-09-13T00:16:51.735000+00:00,BUS-05,100,0.0,1.231,5.1123,51.399,49.9828
2026-09-13T00:17:01.735000+00:00,BUS-05,100,0.0,1.2237,5.0667,51.424,49.9848
2026-09-13T00:17:11.735000+00:00,BUS-05,100,0.0,1.2352,5.0876,51.45,49.9834
2026-09-13T00:17:21.735000+00:00,BUS-05,100,0.0,1.2368,5.1225,51.476,49.9842
2026-09-13T00:17:31.735000+00:00,BUS-05,100,0.0,1.2347,5.12,51.502,49.9761
2026-09-13T00:17:41.735000+00:00,BUS-05,100,0.0,1.2515,5.0989,51.527,49.9751
2026-09-13T00:17:51.735000+00:00,BUS-05,100,0.0,1.2457,5.1083,51.552,49.9866
2026-09-13T00:18:01.735000+00:00,BUS-05,100,0.0,1.249,5.1526,51.578,49.9881
2026-09-13T00:18:11.735000+00:00,BUS-05,100,0.0,1.2501,5.149,51.604,49.9915
2026-09-13T00:18:21.735000+00:00,BUS-05,100,0.0,1.2332,5.1035,51.63,49.9851
2026-09-13T00:18:31.735000+00:00,BUS-05,100,0.0,1.2357,5.0426,51.656,49.9839
2026-09-13T00:18:41.735000+00:00,BUS-05,100,0.0,1.2372,5.0467,51.682,49.9905
2026-09-13T00:18:51.735000+00:00,BUS-05,100,0.0,1.2335,5.0147,51.707,49.9905
2026-09-13T00:19:01.735000+00:00,BUS-05,100,0.0,1.2228,5.0693,51.733,49.9927
2026-09-13T00:19:11.735000+00:00,BUS-05,100,0.0,1.2141,5.087,51.759,49.9913
2026-09-13T00:19:21.735000+00:00,BUS-05,100,0.0,1.2037,5.0698,51.785,49.9931
2026-09-13T00:19:31.735000+00:00,BUS-05,100,0.0,1.2006,5.1209,51.811,49.9888
2026-09-13T00:19:41.735000+00:00,BUS-05,100,0.0,1.1932,5.1105,51.838,49.986
2026-09-13T00:19:51.735000+00:00,BUS-05,100,0.0,1.1929,5.1094,51.863,49.9801
2026-09-13T00:20:01.735000+00:00,BUS-05,100,0.0,1.1968,5.1498,51.889,49.9763
2026-09-13T00:20:11.735000+00:00,BUS-05,100,0.0,1.1889,5.193,51.916,49.9784
2026-09-13T00:20:21.735000+00:00,BUS-05,100,0.0,1.1854,5.1515,51.942,49.972
2026-09-13T00:20:31.735000+00:00,BUS-05,100,0.0,1.1801,5.1367,51.969,49.9753
2026-09-13T00:20:41.735000+00:00,BUS-05,100,0.0,1.1833,5.1229,51.995,49.9712
2026-09-13T00:20:51.735000+00:00,BUS-05,100,0.0,1.1981,5.1352,52.021,49.97
2026-09-13T00:21:01.735000+00:00,BUS-05,100,0.0,1.2113,5.1234,52.047,49.9816
2026-09-13T00:21:11.735000+00:00,BUS-05,100,0.0,1.208,5.0686,52.072,49.9841
2026-09-13T00:21:21.735000+00:00,BUS-05,100,0.0,1.2092,5.0779,52.098,49.9773
2026-09-13T00:21:31.735000+00:00,BUS-05,100,0.0,1.2071,5.0763,52.124,49.9794
2026-09-13T00:21:41.735000+00:00,BUS-05,100,0.0,1.2036,5.0746,52.15,49.9787
